ID;LAT;LONG
A354;-6.974135;-42.146831
A364;-9.875196;-45.345805
A362;-5.911033;-42.718729
A338;-3.899365;-42.259483
A326;-9.083333;-44.326389
A337;-9.285880;-43.324438
A336;-8.441598;-43.865443
A346;-7.441420;-44.345055
A335;-4.276047;-41.794568
A308;-3.086656;-41.783139
A365;-8.117939;-42.975721
A311;-6.761438;-43.003396
A345;-9.033211;-42.701112
A312;-5.034769;-42.801341
A821;-23.505266;-49.946387
A842;-23.415284;-50.577744
A819;-24.786954;-49.999266
A871;-23.773341;-50.180570
A872;-24.280394;-50.210150
A849;-22.639366;-52.890156
A818;-25.010757;-50.853853
A850;-22.658273;-52.134526
A047;-16.012222;-47.557417
A046;-15.935139;-48.137377
A042;-15.652894;-48.201369
A045;-15.596491;-47.625800
A001;-15.789343;-47.925756
A915;-14.421327;-54.035536
A930;-13.184857;-53.257366
A907;-16.462419;-54.580151
A905;-13.785907;-57.838485
A916;-12.627315;-52.220891
A943;-11.987911;-51.426089
A931;-14.927883;-53.883643
A904;-12.555107;-55.722863
A908;-14.016496;-52.211690
A932;-16.341587;-53.766089
A923;-15.579944;-54.381001
A909;-17.339400;-53.224100
A927;-12.521901;-58.231401
A928;-13.038642;-57.092200
A920;-11.375126;-58.774785
A922;-15.062696;-59.872921
A903;-13.453981;-56.677323
A934;-17.841011;-53.289474
A921;-11.619023;-50.727856
A912;-15.531431;-55.135649
A937;-15.234582;-59.346215
A913;-13.708046;-59.762385
A918;-10.639518;-51.571456
A901;-15.559295;-56.062951
A936;-15.124811;-58.127100
A933;-17.175051;-54.501690
A942;-10.484167;-52.372501
A944;-14.828972;-56.441944
A917;-11.982245;-55.565993
A941;-16.074444;-57.692778
A935;-15.324728;-57.225845
A929;-13.411105;-54.752144
A902;-14.650117;-57.431556
A204;-7.455609;-46.027546
A222;-6.033167;-44.233402
A224;-6.653272;-47.418241
A205;-7.337269;-47.459839
A223;-9.108199;-45.932016
A221;-5.506782;-45.237053
A218;-2.592352;-42.707529
A237;-4.821352;-43.343659
A220;-4.243056;-44.794993
A203;-2.526771;-44.213577
A207;-5.816085;-46.162200
A206;-3.742690;-43.352100
A225;-5.555723;-47.459794
A217;-2.270811;-43.624043
A238;-4.320597;-46.449503
A020;-8.968677;-48.177259
A044;-5.643725;-48.111839
A050;-9.793363;-47.132732
A043;-8.154665;-46.639323
A048;-7.124191;-48.781267
A041;-9.576389;-49.723330
A049;-8.092708;-48.478605
A054;-12.592213;-49.528738
A021;-7.103954;-48.201231
A010;-12.614893;-47.871917
A039;-11.887377;-49.608215
A018;-12.015377;-48.544517
A051;-10.476944;-49.629475
A055;-10.828286;-49.847882
A052;-11.429018;-48.184889
A038;-11.594448;-46.847209
A009;-10.190744;-48.301811
A040;-10.434440;-45.921940
A053;-11.284098;-47.212125
A019;-11.745782;-49.049703
A036;-16.784896;-47.612966
A033;-17.304153;-48.284131
A017;-14.089210;-46.366497
A028;-16.423059;-51.148800
A012;-16.260542;-47.966962
A002;-16.642841;-49.220222
A026;-17.569319;-52.596483
A004;-14.469358;-48.485756
A014;-15.939729;-50.141433
A035;-18.409761;-49.192061
A015;-14.979792;-49.539977
A003;-17.745066;-49.101698
A016;-17.923622;-51.717467
A034;-18.154779;-47.927614
A024;-14.133074;-47.523258
A023;-16.966841;-51.817567
A027;-16.962536;-50.425450
A013;-15.902658;-52.245172
A011;-18.969142;-50.633449
A025;-17.785303;-50.964869
A032;-13.253520;-46.890326
A037;-16.679786;-48.618171
A022;-15.220199;-48.990107
A429;-11.084858;-43.138998
A439;-12.193060;-43.213420
A423;-9.625693;-42.077214
A416;-13.332386;-44.617376
A426;-14.208056;-42.748288
A432;-10.722925;-43.651203
A402;-12.124715;-45.027049
A415;-11.002768;-44.524965
A404;-12.152394;-45.829745
A418;-13.251094;-43.405365
A713;-23.426035;-47.585552
A733;-20.165025;-50.595134
A736;-21.132937;-48.840426
A755;-23.523890;-46.869450
A725;-23.101749;-48.940997
A748;-20.559175;-48.544997
A708;-20.584475;-47.382549
A737;-21.855567;-48.799717
A727;-21.666045;-49.734854
A753;-20.359760;-47.775220
A738;-21.780560;-47.075280
A715;-23.852022;-48.164817
A726;-22.703132;-47.623317
A718;-22.372832;-50.974710
A707;-22.119867;-51.408637
A701;-23.496294;-46.620088
A716;-22.949000;-49.894546
A711;-21.980353;-47.883927
A747;-21.338432;-48.114007
A729;-20.403221;-49.966031
A741;-22.471205;-48.557573
A739;-22.415062;-46.805292
A734;-21.319138;-50.930158
A735;-21.085675;-49.920388
A705;-22.358052;-49.028877
A714;-23.981918;-48.885818
A031;-12.820489;-50.335969
A005;-13.309528;-49.117478
A056;-16.399314;-47.625842
A029;-17.337001;-49.914778
A241;-8.303610;-49.282770
A214;-4.784470;-48.071055
A233;-9.338611;-50.350280
A452;-11.052164;-45.200769
A449;-10.018333;-42.500278
A560;-19.239555;-45.008187
A566;-16.848806;-42.035361
A511;-19.573824;-42.622413
A521;-19.883945;-43.969397
A507;-18.917072;-48.255657
A527;-17.892840;-41.515423
A543;-14.912284;-42.808473
A542;-16.554101;-46.881935
A538;-18.747711;-44.453785
A561;-20.909892;-47.114259
A552;-16.160327;-42.310266
A523;-18.996684;-46.985935
A555;-20.031457;-44.011249
A562;-18.520667;-46.440611
A513;-20.556592;-43.756220
F501;-19.980034;-43.958651
A536;-19.481935;-45.593932
A506;-16.686316;-43.843763
A533;-18.786842;-42.942921
A565;-20.031111;-46.008811
A539;-15.085958;-44.016036
A571;-17.244361;-46.881667
A525;-19.875271;-47.434102
A567;-21.680722;-45.944389
A564;-20.173278;-44.874944
A524;-20.454930;-45.453825
A553;-17.784770;-46.119394
A569;-19.455288;-44.173380
A559;-15.448089;-44.366313
A509;-22.861604;-46.043365
A563;-15.802833;-43.297056
A545;-17.258064;-44.835600
A537;-18.231052;-43.648269
A548;-15.300159;-45.617431
A519;-19.539210;-49.518133
A544;-15.524262;-46.435536
A526;-14.408228;-44.404123
A505;-19.605696;-46.949617
A516;-20.745237;-46.633916
A520;-19.985860;-48.151574
A549;-15.751536;-41.457787
A547;-16.362747;-45.123801
A515;-21.566513;-45.404300
A530;-21.918066;-46.382996
A546;-17.561349;-47.199251
A528;-18.200855;-45.459836
A541;-17.705504;-42.389256
A535;-19.885398;-44.416883
A550;-16.575667;-41.485588
A568;-19.710028;-47.961889
A570;-20.714917;-44.864556
A551;-15.723139;-42.435750
A512;-18.952907;-49.525072
A514;-21.106502;-44.250928
A763;-22.235222;-49.965111
A762;-21.457699;-51.552254
A766;-24.533139;-47.864139
A768;-20.714917;-44.864556
A764;-20.949197;-48.489944
A938;-12.734862;-60.157784
S703;-19.945539;-54.368533
A756;-20.444440;-52.875830
A723;-21.705850;-57.886546
S705;-21.298278;-52.068917
A759;-21.750123;-52.471294
A731;-21.609036;-55.177531
A720;-18.512146;-54.736116
S704;-21.246756;-56.450442
A749;-22.857210;-54.605634
A702;-20.447195;-54.722615
A758;-21.478529;-56.137717
A742;-19.122471;-51.720732
A760;-18.492665;-53.171261
S711;-22.575389;-55.160333
A757;-22.101536;-56.540763
S714;-18.072711;-54.548811
S717;-20.351444;-51.430222
A704;-20.790000;-51.712200
A703;-22.552448;-55.716317
A721;-22.193920;-54.911355
S701;-22.148083;-53.763736
A710;-19.695517;-51.181769
A754;-20.981637;-54.971870
S713;-22.078528;-53.465889
A750;-23.002530;-55.329357
S710;-22.092833;-54.798833
A732;-19.420320;-54.553088
A724;-18.996670;-57.637500
A730;-18.802187;-52.602620
A717;-18.988681;-56.622868
S708;-22.308694;-54.325833
A722;-20.395530;-56.431736
A719;-20.475420;-55.784006
A709;-22.300421;-53.822895
S706;-22.657056;-54.819306
A743;-21.774940;-54.528108
S715;-20.466940;-53.763028
A761;-17.635277;-54.760470
S712;-21.450972;-54.341972
S707;-19.587528;-54.030083
S716;-21.305889;-52.820375
A375;-8.333531;-45.094626
A374;-10.429169;-45.173039
A376;-4.864178;-42.145553
A252;-4.280556;-47.563972
